"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Average domestic fares for Canada and ten major cities, quarterly",23100237,401-0003,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2310023701",,"CURRENT - a cube available to the public and that is current",Quarterly,1983-01-01,2019-04-01,1

"Dimension ID","Dimension name","Dimension Notes","Dimension Correction Notes","Dimension Definitions"
1,Geography,,,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Correction Notes","Member Geo Attribute Keys","Member Definitions"
1,Canada,[11124],1,,,,,,
1,Halifax,,2,1,,,,,
1,Montréal,,3,1,,,,,
1,Ottawa,,4,1,,,,,
1,Toronto,,5,1,,,,,
1,Winnipeg,,6,1,,,,,
1,Saskatoon,,7,1,,,,,
1,Regina,,8,1,,,,,
1,Calgary,,9,1,,,,,
1,Edmonton,,10,1,,,,,
1,Vancouver,,11,1,,,,,

Symbol Legend
Description,Symbol
"not available for a specific reference period",..
"less than the limit of detection",<LOD
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded",0s
"data quality: excellent",A
"data quality: very good",B
"data quality: good",C
"data quality: acceptable",D
"use with caution",E
"too unreliable to be published",F
"not applicable",...
preliminary,p
revised,r
"suppressed to meet the confidentiality requirements of the Statistics Act",x
terminated,t

"Survey Code","Survey Name"
2708,"Fare Basis Survey"

"Subject Code","Subject Name"
23,Transportation

"Note ID",Note

"Correction ID","Correction Date","Correction Note"


